,mean,std,min,25%,50%,75%,max
linear,6.670062796548172,12.456101115608545,4.1023203976182695e-15,0.4628035978289946,1.6839382851364095,8.90368165747605,101.66577970769592
poly2,55.98824001855545,65.42358577042988,0.0288675134594811,4.5673852110113335,18.605658625927003,127.61354098298483,518.8619065248441
poly3,608.0577262468482,754.3861041522111,0.0288675134584822,43.025033622899784,236.77526597375854,1743.1014112395644,5518.346224172757
exp,6.603457526396968,5.329640755730083,0.002497542717332,0.5428894098560393,1.9524175899994805,11.155344681161775,59.79835608316176
log,0.8432309575347875,1.5345695618100028,0.0005946682738653,0.12199557395827966,0.3004137434662334,0.7738876456927068,13.942174498818051
power,3.9842349197958877,12.458816957409402,0.000399072544687,0.1730608026162091,0.6407081526640357,1.6678836522898757,132.70636999862683
mult,3.9403435952706647,12.481086039357075,0.000399072544687,0.15209433162483654,0.4831538604214957,1.6678836522898757,132.70636999862683
hybrid_mult,5.471044640843238,13.25356437228357,0.0001829219186249,0.18248776343154516,1.1732925353633292,4.253959688149022,141.6570947820706
am,7.0560803043805285,12.180547396563192,4.1023203976182695e-15,0.6423469654645367,2.383337811871286,8.90368165747605,101.66577970769592
gm,6.961422532254773,12.237229467643377,9.173067274558416e-15,0.5632378845089424,2.099464666773546,8.903681657475984,101.66577970326225
hm,6.966526634184198,12.223944280758538,4.1023203976182695e-15,0.5303973227030434,2.1982790682802795,8.90368165747605,101.66577970769592
