,mean,std,min,25%,50%,75%,max
linear,10.694093206146087,1.6507738498011884,4.283727744076717,8.47843898738036,11.4781945280344,13.862654243505839,16.35099771897876
poly2,10.574426316901931,1.6999342956102377,3.89863225056747,8.478438987114357,11.384464998975034,13.82721662707474,16.420626677490848
poly3,10.506105710634627,1.7331814365705238,3.507390288231484,8.478438987416476,11.384336728867332,13.809193769884336,16.35099771887444
exp,10.658717943291622,1.633466357559411,3.80254125499344,8.478441530028144,11.475689606876053,13.86216623541284,16.350997722812107
log,10.709442224965889,1.6129064101433235,3.694680689657457,8.478438987338725,11.432680722087245,13.862731509361652,16.350997719722475
power,10.723568214605097,1.5024036523698512,3.3742630979176385,8.513837014697698,11.450969111094926,13.862731509910468,16.351250245681403
mult,10.71151898605794,1.4969866719869571,3.3475858162748064,8.478440019594487,11.432680722123674,13.8625066485003,16.351250245681403
hybrid_mult,10.827156978273061,1.4397453687091937,3.5975081357322867,8.50738456014203,11.441961318590394,13.92824493493357,16.35099771923449
am,10.97916963796979,1.5911566389006395,4.401743628666295,8.603684651273715,11.515748850366613,13.910879710106112,16.35099771897876
gm,10.977009364516602,1.599197559783511,4.401743629060985,8.605284560545453,11.51581150685237,13.913892571993888,16.35099771897876
hm,10.98306279461161,1.5933310693292184,4.401743628962438,8.618157196798425,11.519668304226276,13.915628701151704,16.35099771897876
