train set size,language to,c0,c1,rmse,kfold rmse
1,ka,0.0,0.0,7.077664398184852,5.623394109404671
1,gu,6.200030607032429,-9.52385520678662e-10,8.479181188768575,8.163758242454666
1,hi,5.566459680285047,-7.389317216435746e-09,8.455171426907288,8.149834294518607
1,si,5.583233096204428,-6.778297712868908e-11,9.984916461901742,9.719241495504868
1,ta,4.166670055940933,-6.16517838204025e-09,8.487178875818422,8.202906090213611
10,ka,9.299729387970642,-7.610891183024005e-09,12.039158403970587,11.787689875491058
10,gu,11.8334568971954,-6.7862884226677e-09,12.323619776846593,12.067935144312571
10,hi,11.7216626907866,-7.809576897074993e-09,12.66957364701717,12.517610596282163
10,si,11.818403914615649,-0.005327898415877916,17.04683292591813,16.7943882885519
10,ta,9.484643090216741,-9.661252861030356e-09,13.932031741745151,13.725248010658792
25,ka,11.083331350585382,-1.1419368058835749e-07,13.582638372267294,13.358758347554518
25,gu,13.866677620477086,-7.266492477155864e-09,13.687299493859735,13.458439470052525
25,hi,12.983337918984347,-1.1293851827427959e-09,14.230063221591925,14.027543377395872
25,si,15.917443019284104,-4.348195302025207,18.19138908722852,17.538287336048878
25,ta,11.553440774218396,-1.319614433608541e-10,15.397417847813655,15.241980932618349
50,hi,17.19833193071699,-4.677465598347961e-09,13.831787415842603,17.49455733562296
50,si,24.73426084940655,-17.040570445919784,17.35581212814997,26.487892650677676
50,ta,15.410671804705578,-4.659435683836306e-08,16.854774436505366,21.840629468099024
