model,pareto,rawlsian,gov-1-flores,gov-1-bible,gov-1-gov,gov-10-flores,gov-10-bible,gov-10-gov,gov-25-flores,gov-25-bible,gov-25-gov,gov-50-flores,gov-50-bible,gov-50-gov,bible-1-flores,bible-1-bible,bible-1-gov,bible-10-flores,bible-10-bible,bible-10-gov,bible-25-flores,bible-25-bible,bible-25-gov
linear,True,False,3.2488238057940984,1.1410521460476728,4.3721600969550405,3.8083806617884735,2.3958297101421877,4.18495163019162,4.066965725802445,2.874369496080836,4.650998513240341,3.5632977156453003,2.335950912726264,4.599845274480299,1.2473972903610142,3.842040695505629,0.74565407529229,2.4240462041801103,4.1907673607306135,1.4676511847165867,2.7542694131112158,4.409142324689662,1.6792855623746665
poly2,True,False,5.107641334314694,1.1410521460476728,4.653942195259347,3.8205984415304686,2.3958297101421877,4.082933496844312,4.465766013461534,2.874369496080836,4.656196342420528,3.7253274087636434,2.335950912726264,4.667995348534208,1.2473972903610142,4.08975552417131,0.74565407529229,2.4240462041801103,4.0955532646252,1.4676511847165867,2.7542694131112158,4.922545743221975,1.6792855623746665
poly3,True,False,5.107641334314694,1.1410521460476728,4.564605017388723,3.7862633228311333,2.3958297101421877,4.131635154448894,4.424538289742843,2.874369496080836,5.047555640356436,3.7551221388232388,2.335950912726264,4.690991331316528,1.2473972903610142,3.835222311245297,0.74565407529229,2.4240462041801103,3.9589522049641017,1.4676511847165867,2.7542694131112158,4.369795258247479,1.6792855623746665
exp,True,False,5.107641334314694,1.1410521460476728,2.7687873522374646,4.701357222171859,2.3958297101421877,2.381137916071515,5.800234523285449,2.874369496080836,2.9108008716541782,4.322079385972547,2.335950912726264,5.2383267430837135,1.2473972903610142,2.844469288274752,0.74565407529229,2.4240462041801103,2.9546903128581774,1.4676511847165867,2.7542694131112158,3.1132191799166504,1.6792855623746665
log,True,False,2.987990616716735,1.1410521460476728,5.167475550258371,3.9223183491655678,2.3958297101421877,6.103085575445331,4.2509836545922255,2.874369496080836,5.084444806333367,3.3253068119989124,2.335950912726264,7.862967325632964,1.2473972903610142,3.778026761087133,0.74565407529229,2.4240462041801103,4.837515841591971,1.4676511847165867,2.7542694131112158,4.782483031169411,1.6792855623746665
power,True,False,2.223434538068159,1.1410521460476728,3.871799623273879,3.4854700889481465,1.2952301366011034,4.325579242743156,3.8854633417708118,1.454644005862785,4.953344376962915,2.499307978073776,0.9351997727756775,4.624782420751098,1.2473972903610142,3.10098796994463,0.74565407529229,0.9405220191674224,3.7185936873552863,1.4676511847165867,0.9708494042870016,3.958378894822959,1.6792855623746665
mult,True,True,2.1414361551106005,1.1410521460476728,3.9776653624765705,2.6270202944285974,2.3958297101421877,3.3001013392338705,2.808794113267439,2.874369496080836,3.4162528164397536,3.50339671519382,2.335950912726264,1.336142936531637,1.2473972903610142,3.854266232311435,0.74565407529229,2.4240462041801103,3.519355074296323,1.4676511847165867,2.7542694131112158,4.004240304865107,1.6792855623746665
hybrid_mult,True,False,2.4491347929531115,0.8136338242723196,4.121140707238523,2.5677949003827876,1.630950643030009,3.8211306800558775,2.732807523963757,2.0644611887851028,4.008796626292662,3.6582992339947116,1.457166199626293,14.524475232970515,0.5621387729022078,4.141753586694366,0.5253570214625478,1.5218409903797439,5.060315062865708,0.7443117626371357,1.829207478663916,4.532368184897472,0.9273618495495703
am,True,False,3.0300898278438995,1.1410521460476728,4.497426592447247,3.6830434306079884,2.3958297101421877,4.480193609660269,4.008976815427142,2.874369496080836,5.032622570815363,3.5763462559082484,2.335950912726264,5.610829492358377,1.2473972903610142,3.724575497880393,0.74565407529229,2.4240462041801103,4.262785925807627,1.4676511847165867,2.7542694131112158,4.447893252914952,1.6792855623746665
gm,True,False,2.9885032765121813,1.1410521460476728,4.492720779244435,3.7005541363570855,2.3958297101421877,4.485346196119942,4.007582598891204,2.874369496080836,5.035026171253408,3.5224985747892363,2.335950912726264,5.5960471710313815,1.2473972903610142,3.859851504617906,0.74565407529229,2.4240462041801103,4.215211168794386,1.4676511847165867,2.7542694131112158,4.410367747369844,1.6792855623746665
hm,True,False,2.987975806346567,1.1410521460476728,4.494585729264412,3.703444729292791,2.3958297101421877,4.4797948005261725,4.012151830939936,2.874369496080836,5.040588727422879,3.5273863910524823,2.335950912726264,5.598270371638593,1.2473972903610142,3.8389590553178192,0.74565407529229,2.4240462041801103,4.263772436539437,1.4676511847165867,2.7542694131112158,4.406920650040522,1.6792855623746665
